species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1), t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1),Reference
Sardinella aurita,sa,21.5,104,0.25,0.76,-0.74,12,5.99,1.62,
Sardinella aurita,sa,21.5,104,0.25,0.76,-0.74,12,5.99,2.41,
Sardinella aurita,sa,21.5,104,0.25,0.76,-0.74,12,5.99,1.8,
Sardinella aurita,sa,21.5,104,0.25,0.76,-0.74,12,5.99,0.09,
Sardinella aurita,sa,21.5,104,0.25,0.76,-0.74,12,5.99,0.35,
Sardinella aurita,sa,21.5,104,0.25,0.76,-0.74,12,5.99,0.24,
Sardinella aurita,sa,21.5,104,0.25,0.76,-0.74,12,5.99,0.43,
Sardinella maderensis,sm,37.5,300,1.01,0.5,-0.4,7.51,24.5,1.62,
Sardinella maderensis,sm,37.5,300,1.01,0.5,-0.4,7.51,24.5,2.41,
Sardinella maderensis,sm,37.5,300,1.01,0.5,-0.4,7.51,24.5,1.8,
Sardinella maderensis,sm,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.09,
Sardinella maderensis,sm,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.35,
Sardinella maderensis,sm,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.24,
Sardinella maderensis,sm,37.5,300,1.01,0.5,-0.4,7.51,24.5,0.43,
Lutjanus sebae,ls,78.7,8000,0.12,0.12,-1.9,28,39.8,1.62,
Lutjanus sebae,ls,78.7,8000,0.12,0.12,-1.9,28,39.8,2.41,
Lutjanus sebae,ls,78.7,8000,0.12,0.12,-1.9,28,39.8,1.8,
Lutjanus sebae,ls,78.7,8000,0.12,0.12,-1.9,28,39.8,0.09,
Lutjanus sebae,ls,78.7,8000,0.12,0.12,-1.9,28,39.8,0.35,
Lutjanus sebae,ls,78.7,8000,0.12,0.12,-1.9,28,39.8,0.24,
Lutjanus sebae,ls,78.7,8000,0.12,0.12,-1.9,28,39.8,0.43,
